* Measurement data measured by REW V5,19
* Source: ASIO ASIO E-MU 0404 | USB, Analog IN B
* Format: 1M Log Swept Sine, 1 sweep at -10,0 dBFS, at 96000 Hz
* Dated: 25.2.2020 15:19:21
* Sense Resistor: 119.8
* Lead resistance: 0.000
* Lead resistance: 0.000
* Calibration factor: 1.0000
* Note: impedanca bass
* Measurement: nov zvocnik
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) Z(Ohms) Phase(degrees)
248.291 3.468 3.154
248.657 3.469 3.235
249.023 3.471 3.313
249.390 3.472 3.386
249.756 3.474 3.456
250.122 3.475 3.526
250.488 3.476 3.599
250.854 3.477 3.678
251.221 3.478 3.761
251.587 3.480 3.845
251.953 3.481 3.926
252.319 3.483 4.005
252.686 3.485 4.081
253.052 3.487 4.157
253.418 3.489 4.235
253.784 3.491 4.315
254.150 3.493 4.395
254.517 3.495 4.475
254.883 3.498 4.554
255.249 3.501 4.633
255.615 3.503 4.711
255.981 3.506 4.790
256.348 3.510 4.867
256.714 3.513 4.943
257.080 3.517 5.016
257.446 3.521 5.087
257.812 3.525 5.156
258.179 3.529 5.221
258.545 3.534 5.282
258.911 3.539 5.340
259.277 3.544 5.393
259.644 3.549 5.441
260.010 3.554 5.483
260.376 3.560 5.517
260.742 3.565 5.542
261.108 3.571 5.558
261.475 3.576 5.566
261.841 3.581 5.566
262.207 3.586 5.560
262.573 3.590 5.549
262.939 3.594 5.534
263.306 3.598 5.516
263.672 3.601 5.497
264.038 3.603 5.479
264.404 3.605 5.464
264.771 3.607 5.452
265.137 3.609 5.446
265.503 3.610 5.445
265.869 3.612 5.448
266.235 3.613 5.456
266.602 3.616 5.466
266.968 3.618 5.476
267.334 3.621 5.482
267.700 3.625 5.481
268.066 3.628 5.470
268.433 3.632 5.447
268.799 3.637 5.410
269.165 3.640 5.357
269.531 3.644 5.286
269.897 3.646 5.198
270.264 3.647 5.095
270.630 3.647 4.984
270.996 3.645 4.872
271.362 3.641 4.771
271.729 3.635 4.685
272.095 3.629 4.620
272.461 3.622 4.576
272.827 3.614 4.551
273.193 3.607 4.543
273.560 3.600 4.552
273.926 3.593 4.576
274.292 3.586 4.617
274.658 3.580 4.671
275.024 3.574 4.736
275.391 3.569 4.808
275.757 3.565 4.882
276.123 3.561 4.957
276.489 3.558 5.034
276.855 3.554 5.113
277.222 3.552 5.194
277.588 3.549 5.275
277.954 3.548 5.355
278.320 3.546 5.431
278.687 3.545 5.505
279.053 3.543 5.578
279.419 3.542 5.652
279.785 3.541 5.726
280.151 3.540 5.800
280.518 3.539 5.871
280.884 3.538 5.938
281.250 3.537 6.005
281.616 3.536 6.072
281.982 3.536 6.141
282.349 3.535 6.210
282.715 3.534 6.280
283.081 3.534 6.347
283.447 3.533 6.413
283.813 3.533 6.481
284.180 3.532 6.552
284.546 3.532 6.625
284.912 3.532 6.697
285.278 3.532 6.765
285.645 3.532 6.829
286.011 3.532 6.892
286.377 3.532 6.957
286.743 3.532 7.025
287.109 3.532 7.095
287.476 3.533 7.165
287.842 3.533 7.231
288.208 3.534 7.293
288.574 3.534 7.354
288.940 3.535 7.416
289.307 3.535 7.479
289.673 3.536 7.543
290.039 3.536 7.605
290.405 3.537 7.664
290.771 3.538 7.722
291.138 3.538 7.781
291.504 3.539 7.842
291.870 3.540 7.903
292.236 3.541 7.962
292.603 3.542 8.018
292.969 3.542 8.071
293.335 3.543 8.123
293.701 3.544 8.176
294.067 3.544 8.232
294.434 3.545 8.289
294.800 3.546 8.346
295.166 3.547 8.401
295.532 3.547 8.455
295.898 3.548 8.508
296.265 3.549 8.561
296.631 3.550 8.615
296.997 3.550 8.668
297.363 3.551 8.720
297.729 3.552 8.772
298.096 3.553 8.824
298.462 3.553 8.877
298.828 3.554 8.929
299.194 3.555 8.982
299.561 3.556 9.034
299.927 3.556 9.086
300.293 3.557 9.139
300.659 3.558 9.193
