* Measurement data measured by REW V5,19
* Source: ASIO ASIO E-MU 0404 | USB, Analog IN B
* Format: 1M Log Swept Sine, 1 sweep at -10,0 dBFS, at 96000 Hz
* Dated: 25.2.2020 15:22:02
* Sense Resistor: 119.8
* Lead resistance: 0.000
* Lead resistance: 0.000
* Calibration factor: 1.0000
* Note: impedanca tweeter
* Measurement: nov zvocnik
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) Z(Ohms) Phase(degrees)
297.363 5.496 18.231
297.729 5.498 18.249
298.096 5.499 18.266
298.462 5.501 18.283
298.828 5.502 18.302
299.194 5.504 18.320
299.561 5.505 18.340
299.927 5.507 18.359
300.293 5.509 18.376
300.659 5.510 18.394
301.025 5.512 18.411
301.392 5.513 18.428
301.758 5.515 18.446
302.124 5.517 18.464
302.490 5.518 18.482
302.856 5.520 18.500
303.223 5.521 18.518
303.589 5.523 18.536
303.955 5.525 18.555
304.321 5.527 18.573
304.688 5.528 18.590
305.054 5.530 18.606
305.420 5.532 18.622
305.786 5.533 18.639
306.152 5.535 18.658
306.519 5.536 18.677
306.885 5.538 18.696
307.251 5.540 18.715
307.617 5.541 18.732
307.983 5.543 18.749
308.350 5.545 18.766
308.716 5.546 18.784
309.082 5.548 18.802
309.448 5.550 18.819
309.814 5.551 18.836
310.181 5.553 18.852
310.547 5.554 18.870
310.913 5.556 18.888
311.279 5.558 18.905
311.646 5.559 18.923
312.012 5.561 18.939
312.378 5.563 18.955
312.744 5.564 18.971
313.110 5.566 18.989
313.477 5.567 19.007
313.843 5.569 19.026
314.209 5.571 19.043
314.575 5.572 19.061
314.941 5.574 19.078
315.308 5.576 19.095
315.674 5.577 19.113
316.040 5.579 19.130
316.406 5.581 19.147
316.772 5.582 19.164
317.139 5.584 19.182
317.505 5.586 19.200
317.871 5.587 19.218
318.237 5.589 19.236
318.604 5.591 19.253
318.970 5.593 19.269
319.336 5.594 19.286
319.702 5.596 19.304
320.068 5.597 19.322
320.435 5.599 19.340
320.801 5.601 19.358
321.167 5.603 19.375
321.533 5.605 19.391
321.899 5.606 19.407
322.266 5.608 19.424
322.632 5.609 19.442
322.998 5.611 19.461
323.364 5.613 19.479
323.730 5.615 19.496
324.097 5.617 19.513
324.463 5.618 19.529
324.829 5.620 19.546
325.195 5.621 19.565
325.562 5.623 19.584
325.928 5.625 19.603
326.294 5.627 19.621
326.660 5.628 19.637
327.026 5.630 19.654
327.393 5.632 19.670
327.759 5.634 19.687
328.125 5.635 19.705
328.491 5.637 19.723
328.857 5.639 19.740
329.224 5.641 19.757
329.590 5.642 19.773
329.956 5.644 19.789
330.322 5.646 19.806
330.688 5.648 19.823
331.055 5.649 19.841
331.421 5.651 19.859
331.787 5.653 19.876
332.153 5.655 19.892
332.520 5.657 19.908
332.886 5.658 19.924
333.252 5.660 19.941
333.618 5.662 19.959
333.984 5.664 19.977
334.351 5.665 19.996
334.717 5.667 20.014
335.083 5.669 20.032
335.449 5.671 20.048
335.815 5.673 20.065
336.182 5.674 20.082
336.548 5.676 20.100
336.914 5.678 20.118
337.280 5.680 20.136
337.646 5.682 20.153
338.013 5.684 20.169
338.379 5.686 20.183
338.745 5.687 20.198
339.111 5.689 20.215
339.478 5.690 20.233
339.844 5.692 20.252
340.210 5.694 20.271
340.576 5.696 20.288
340.942 5.698 20.304
341.309 5.700 20.318
341.675 5.702 20.333
342.041 5.703 20.350
342.407 5.705 20.369
342.773 5.707 20.388
343.140 5.709 20.406
343.506 5.711 20.422
343.872 5.713 20.437
344.238 5.715 20.452
344.604 5.716 20.469
344.971 5.718 20.486
345.337 5.720 20.503
345.703 5.722 20.520
346.069 5.724 20.536
346.436 5.726 20.553
346.802 5.727 20.570
347.168 5.729 20.587
347.534 5.731 20.605
347.900 5.733 20.621
348.267 5.735 20.637
348.633 5.737 20.652
348.999 5.739 20.667
349.365 5.740 20.684
349.731 5.742 20.702
350.098 5.744 20.720
350.464 5.746 20.737
350.830 5.748 20.754
351.196 5.750 20.769
351.562 5.752 20.784
351.929 5.754 20.800
352.295 5.756 20.816
352.661 5.757 20.832
353.027 5.759 20.849
353.394 5.761 20.867
353.760 5.763 20.884
354.126 5.765 20.901
354.492 5.767 20.917
354.858 5.769 20.934
355.225 5.771 20.949
355.591 5.773 20.965
355.957 5.775 20.981
356.323 5.777 20.997
356.689 5.779 21.014
357.056 5.781 21.030
357.422 5.783 21.046
357.788 5.785 21.061
358.154 5.787 21.077
358.521 5.789 21.092
358.887 5.791 21.109
359.253 5.793 21.126
359.619 5.795 21.143
359.985 5.797 21.160
360.352 5.799 21.175
360.718 5.800 21.191
361.084 5.802 21.206
361.450 5.804 21.222
361.816 5.806 21.239
362.183 5.808 21.256
362.549 5.810 21.274
362.915 5.812 21.292
363.281 5.814 21.309
363.647 5.816 21.325
364.014 5.818 21.341
364.380 5.820 21.356
364.746 5.822 21.371
365.112 5.824 21.386
365.479 5.825 21.401
365.845 5.827 21.417
366.211 5.829 21.434
366.577 5.831 21.451
366.943 5.833 21.468
367.310 5.835 21.485
367.676 5.837 21.501
368.042 5.839 21.517
368.408 5.842 21.532
368.774 5.844 21.547
369.141 5.846 21.562
369.507 5.848 21.577
369.873 5.850 21.593
370.239 5.851 21.609
370.605 5.853 21.626
370.972 5.855 21.643
371.338 5.858 21.659
371.704 5.860 21.675
372.070 5.862 21.689
372.437 5.864 21.704
372.803 5.866 21.719
373.169 5.867 21.736
373.535 5.869 21.753
373.901 5.872 21.770
374.268 5.874 21.785
374.634 5.876 21.799
375.000 5.878 21.814
375.366 5.880 21.830
375.732 5.882 21.847
376.099 5.884 21.865
376.465 5.886 21.882
376.831 5.888 21.897
377.197 5.890 21.911
377.563 5.892 21.925
377.930 5.894 21.941
378.296 5.896 21.958
378.662 5.898 21.975
379.028 5.900 21.992
379.395 5.903 22.008
379.761 5.905 22.023
380.127 5.907 22.039
380.493 5.909 22.055
380.859 5.911 22.071
381.226 5.913 22.087
381.592 5.915 22.102
381.958 5.917 22.117
382.324 5.919 22.132
382.690 5.921 22.148
383.057 5.923 22.163
383.423 5.925 22.179
383.789 5.927 22.194
384.155 5.929 22.209
384.521 5.931 22.224
384.888 5.934 22.239
385.254 5.936 22.254
385.620 5.938 22.269
385.986 5.940 22.284
386.353 5.942 22.299
386.719 5.944 22.314
387.085 5.946 22.331
387.451 5.949 22.346
387.817 5.951 22.362
388.184 5.953 22.376
388.550 5.955 22.389
