* Measurement data measured by REW V5,19
* Source: ASIO ASIO E-MU 0404 | USB, Analog IN B
* Format: 1M Log Swept Sine, 1 sweep at -10,0 dBFS  Using a loopback as a timing reference
* Dated: 25.2.2020 14:46:41
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 1,698±0,005 ms (582 mm, 1,91 ft) Mikrofon na sredini, samo bass
* Measurement: nov zv
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
335.449 82.882 5.494
335.815 82.883 5.123
336.182 82.884 4.745
336.548 82.885 4.363
336.914 82.885 3.980
337.280 82.884 3.600
337.646 82.882 3.225
338.013 82.881 2.852
338.379 82.880 2.479
338.745 82.879 2.105
339.111 82.878 1.731
339.478 82.877 1.356
339.844 82.875 0.980
340.210 82.873 0.603
340.576 82.870 0.224
340.942 82.867 -0.155
341.309 82.863 -0.530
341.675 82.858 -0.901
342.041 82.854 -1.269
342.407 82.849 -1.635
342.773 82.845 -2.001
343.140 82.839 -2.366
343.506 82.833 -2.727
343.872 82.827 -3.081
344.238 82.821 -3.429
344.604 82.816 -3.775
344.971 82.811 -4.121
345.337 82.806 -4.469
345.703 82.801 -4.817
346.069 82.795 -5.158
346.436 82.790 -5.495
346.802 82.785 -5.828
347.168 82.782 -6.165
347.534 82.777 -6.507
347.900 82.772 -6.850
348.267 82.767 -7.189
348.633 82.760 -7.519
348.999 82.755 -7.841
349.365 82.751 -8.162
349.731 82.748 -8.489
350.098 82.745 -8.823
350.464 82.741 -9.163
350.830 82.735 -9.500
351.196 82.729 -9.831
351.562 82.723 -10.155
351.929 82.717 -10.475
352.295 82.712 -10.793
352.661 82.707 -11.112
353.027 82.703 -11.431
353.394 82.698 -11.750
353.760 82.693 -12.068
354.126 82.687 -12.386
354.492 82.682 -12.701
354.858 82.676 -13.011
355.225 82.670 -13.312
355.591 82.665 -13.607
355.957 82.661 -13.898
356.323 82.658 -14.191
356.689 82.656 -14.487
357.056 82.654 -14.786
357.422 82.651 -15.085
357.788 82.649 -15.381
358.154 82.647 -15.674
358.521 82.647 -15.966
358.887 82.646 -16.261
359.253 82.646 -16.558
359.619 82.646 -16.857
359.985 82.646 -17.155
360.352 82.647 -17.453
360.718 82.648 -17.751
361.084 82.649 -18.050
361.450 82.652 -18.350
361.816 82.654 -18.651
362.183 82.658 -18.956
362.549 82.662 -19.265
362.915 82.667 -19.580
363.281 82.671 -19.903
363.647 82.676 -20.232
364.014 82.680 -20.565
364.380 82.684 -20.900
364.746 82.687 -21.237
365.112 82.691 -21.575
365.479 82.695 -21.916
365.845 82.698 -22.263
366.211 82.702 -22.616
366.577 82.705 -22.975
366.943 82.707 -23.340
367.310 82.707 -23.706
367.676 82.706 -24.068
368.042 82.705 -24.424
368.408 82.703 -24.775
368.774 82.703 -25.124
369.141 82.703 -25.478
369.507 82.702 -25.838
369.873 82.701 -26.205
370.239 82.698 -26.574
370.605 82.694 -26.939
370.972 82.689 -27.297
371.338 82.685 -27.651
371.704 82.680 -28.004
372.070 82.675 -28.356
372.437 82.670 -28.708
372.803 82.664 -29.058
373.169 82.659 -29.402
373.535 82.653 -29.741
373.901 82.648 -30.078
374.268 82.643 -30.414
374.634 82.637 -30.752
375.000 82.632 -31.088
375.366 82.626 -31.421
375.732 82.621 -31.748
376.099 82.616 -32.071
376.465 82.611 -32.392
376.831 82.608 -32.714
377.197 82.604 -33.038
