* Measurement data measured by REW V5,19
* Source: ASIO ASIO E-MU 0404 | USB, Analog IN B
* Format: 1M Log Swept Sine, 1 sweep at -10,0 dBFS  Using a loopback as a timing reference
* Dated: 25.2.2020 14:46:41
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 1,698±0,005 ms (582 mm, 1,91 ft) Mikrofon na sredini, samo bass
* Measurement: nov zv
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 2.1972656 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
262.207 81.411 -143.491
262.573 81.428 -143.385
262.939 81.453 -143.293
263.306 81.486 -143.225
263.672 81.525 -143.188
264.038 81.570 -143.187
264.404 81.619 -143.227
264.771 81.673 -143.316
265.137 81.730 -143.465
265.503 81.788 -143.678
265.869 81.845 -143.957
266.235 81.899 -144.297
266.602 81.947 -144.691
266.968 81.990 -145.135
267.334 82.025 -145.622
267.700 82.051 -146.143
268.066 82.068 -146.681
268.433 82.074 -147.221
268.799 82.071 -147.747
269.165 82.061 -148.249
269.531 82.045 -148.725
269.897 82.025 -149.177
270.264 82.002 -149.607
270.630 81.975 -150.016
270.996 81.945 -150.403
271.362 81.912 -150.769
271.729 81.877 -151.112
272.095 81.840 -151.436
272.461 81.801 -151.740
272.827 81.760 -152.024
273.193 81.717 -152.287
273.560 81.673 -152.528
273.926 81.627 -152.746
274.292 81.580 -152.940
274.658 81.532 -153.110
275.024 81.484 -153.254
275.391 81.435 -153.371
275.757 81.387 -153.462
276.123 81.340 -153.528
276.489 81.294 -153.572
276.855 81.248 -153.594
277.222 81.204 -153.594
277.588 81.161 -153.570
277.954 81.120 -153.522
278.320 81.082 -153.451
278.687 81.048 -153.363
279.053 81.018 -153.266
279.419 80.991 -153.167
279.785 80.967 -153.070
280.151 80.944 -152.977
280.518 80.923 -152.880
280.884 80.903 -152.777
281.250 80.884 -152.663
281.616 80.869 -152.541
281.982 80.857 -152.419
282.349 80.848 -152.305
282.715 80.841 -152.203
283.081 80.835 -152.112
283.447 80.829 -152.028
283.813 80.823 -151.943
284.180 80.817 -151.853
284.546 80.813 -151.760
284.912 80.810 -151.668
285.278 80.808 -151.581
285.645 80.807 -151.501
286.011 80.806 -151.424
286.377 80.805 -151.345
286.743 80.804 -151.262
287.109 80.804 -151.173
287.476 80.805 -151.083
287.842 80.808 -150.996
288.208 80.812 -150.915
288.574 80.817 -150.842
288.940 80.821 -150.771
289.307 80.824 -150.699
289.673 80.829 -150.623
290.039 80.834 -150.544
290.405 80.840 -150.466
290.771 80.848 -150.392
291.138 80.856 -150.322
291.504 80.864 -150.254
291.870 80.873 -150.186
292.236 80.882 -150.119
292.603 80.892 -150.054
292.969 80.903 -149.991
293.335 80.913 -149.930
293.701 80.924 -149.867
294.067 80.935 -149.802
294.434 80.947 -149.733
294.800 80.961 -149.664
295.166 80.974 -149.597
295.532 80.989 -149.531
295.898 81.003 -149.464
296.265 81.018 -149.393
296.631 81.034 -149.319
296.997 81.051 -149.246
297.363 81.070 -149.179
297.729 81.088 -149.115
298.096 81.106 -149.049
298.462 81.124 -148.975
298.828 81.144 -148.892
299.194 81.167 -148.806
299.561 81.193 -148.728
299.927 81.222 -148.668
300.293 81.250 -148.628
300.659 81.278 -148.601
301.025 81.306 -148.576
301.392 81.334 -148.551
301.758 81.363 -148.527
302.124 81.394 -148.514
302.490 81.426 -148.515
302.856 81.458 -148.532
303.223 81.489 -148.559
303.589 81.519 -148.589
303.955 81.550 -148.619
304.321 81.582 -148.652
304.688 81.614 -148.693
305.054 81.648 -148.747
305.420 81.682 -148.814
305.786 81.715 -148.893
306.152 81.747 -148.980
306.519 81.778 -149.073
306.885 81.809 -149.171
307.251 81.839 -149.274
307.617 81.869 -149.383
307.983 81.898 -149.496
308.350 81.926 -149.612
308.716 81.954 -149.731
309.082 81.982 -149.853
309.448 82.010 -149.981
309.814 82.036 -150.114
310.181 82.063 -150.252
310.547 82.088 -150.395
310.913 82.113 -150.540
311.279 82.137 -150.688
311.646 82.160 -150.836
312.012 82.182 -150.987
312.378 82.204 -151.140
312.744 82.225 -151.294
313.110 82.245 -151.447
313.477 82.264 -151.597
313.843 82.283 -151.743
314.209 82.302 -151.886
314.575 82.322 -152.031
314.941 82.342 -152.180
315.308 82.361 -152.333
315.674 82.379 -152.488
316.040 82.396 -152.641
316.406 82.412 -152.788
316.772 82.429 -152.931
317.139 82.447 -153.072
317.505 82.465 -153.215
317.871 82.483 -153.361
318.237 82.502 -153.511
318.604 82.520 -153.665
318.970 82.539 -153.821
319.336 82.557 -153.981
319.702 82.576 -154.144
320.068 82.594 -154.311
320.435 82.612 -154.480
320.801 82.631 -154.653
321.167 82.650 -154.831
321.533 82.670 -155.018
321.899 82.689 -155.216
322.266 82.707 -155.425
322.632 82.723 -155.641
322.998 82.738 -155.858
323.364 82.751 -156.072
323.730 82.763 -156.281
324.097 82.776 -156.487
324.463 82.789 -156.696
324.829 82.801 -156.911
325.195 82.812 -157.130
325.562 82.822 -157.352
325.928 82.830 -157.571
326.294 82.837 -157.783
326.660 82.843 -157.987
327.026 82.850 -158.187
327.393 82.857 -158.387
327.759 82.864 -158.590
328.125 82.870 -158.798
328.491 82.875 -159.007
328.857 82.879 -159.215
329.224 82.883 -159.418
329.590 82.886 -159.620
329.956 82.888 -159.820
330.322 82.890 -160.023
330.688 82.892 -160.226
331.055 82.892 -160.426
331.421 82.890 -160.621
331.787 82.889 -160.807
332.153 82.887 -160.985
332.520 82.886 -161.158
332.886 82.886 -161.330
